Title,Type_ID,Genre_ID,Year,IMDB_Score,Netflix_Original
Take My Eyes,movie,"Drama, Romance",2003,7.4,FALSE
The Departed,movie,"Crime, Drama, Thriller",2006,8.5,FALSE
Perfume: The Story of a Murderer,movie,"Crime, Drama, Fantasy",2006,7.5,FALSE
Once Upon a Time in Mexico,movie,"Action, Crime, Thriller",2003,6.3,FALSE
Little Children,movie,"Drama, Romance",2006,7.5,FALSE
The Virgin Suicides,movie,"Drama, Romance",1999,7.2,FALSE
Hellboy,movie,"Action, Adventure, Fantasy",2004,6.9,FALSE
Miss Congeniality,movie,"Action, Comedy, Crime",2000,6.3,FALSE
Curse of the Golden Flower,movie,"Action, Drama, Romance",2006,7,FALSE
Spy Game,movie,"Action, Crime, Thriller",2001,7.1,FALSE
Collateral,movie,"Action, Crime, Drama",2004,7.5,FALSE
The Lost Boys,movie,"Comedy, Horror",1987,7.2,FALSE
The Spanish Apartment,movie,"Comedy, Drama, Romance",2002,7.3,FALSE
Resident Evil,movie,"Action, Horror, Sci-Fi",2002,6.6,FALSE
Resident Evil: Apocalypse,movie,"Action, Horror, Sci-Fi",2004,6.1,FALSE
The Holiday,movie,"Comedy, Romance",2006,7,FALSE
School of Rock,movie,"Comedy, Music",2003,7.2,FALSE
Secret Window,movie,"Drama, Mystery, Thriller",2004,6.5,FALSE
What's Eating Gilbert Grape,movie,Drama,1993,7.7,FALSE
Bring It On,movie,"Comedy, Romance, Sport",2000,6.1,FALSE
Meet the Parents,movie,"Comedy, Romance",2000,7,FALSE
Cape Fear,movie,"Crime, Thriller",1991,7.3,FALSE
Hitman,movie,"Action, Crime, Thriller",2007,6.2,FALSE
The People vs. Larry Flynt,movie,"Biography, Drama",1996,7.3,FALSE
Fried Green Tomatoes,movie,Drama,1991,7.7,FALSE
Free Willy,movie,"Adventure, Drama, Family",1993,6,FALSE
The Island,movie,"Action, Sci-Fi, Thriller",2005,6.8,FALSE
The Net,movie,"Action, Crime, Drama",1995,6,FALSE
The Motorcycle Diaries,movie,"Adventure, Biography, Drama",2004,7.7,FALSE
The Legend of Zorro,movie,"Action, Adventure, Romance",2005,6,FALSE
Hostel,movie,Horror,2005,5.9,FALSE
Hostel: Part II,movie,Horror,2007,5.5,FALSE
Anatomy,movie,"Horror, Thriller",2000,6,FALSE
The Cider House Rules,movie,"Drama, Romance",1999,7.4,FALSE
The Incredible Hulk,movie,"Action, Adventure, Sci-Fi",2008,6.6,FALSE
Iron Man,movie,"Action, Adventure, Sci-Fi",2008,7.9,FALSE
The Forbidden Kingdom,movie,"Action, Adventure, Fantasy",2008,6.5,FALSE
The Mummy Returns,movie,"Action, Adventure, Fantasy",2001,6.4,FALSE
The Mummy: Tomb of the Dragon Emperor,movie,"Action, Adventure, Fantasy",2008,5.2,FALSE
Next,movie,"Action, Sci-Fi, Thriller",2007,6.2,FALSE
Footloose,movie,"Drama, Music, Romance",1984,6.6,FALSE
The Devil's Advocate,movie,"Drama, Fantasy, Mystery",1997,7.5,FALSE
50 First Dates,movie,"Comedy, Drama, Romance",2004,6.8,FALSE
Russian Dolls,movie,"Comedy, Drama, Romance",2005,7,FALSE
We Shall Overcome,movie,"Drama, Family",2006,7.3,FALSE
Transformers,movie,"Action, Adventure, Sci-Fi",2007,7.1,FALSE
Fantomas Unleashed,movie,"Adventure, Comedy, Crime",1965,6.8,FALSE
Fantomas,movie,"Adventure, Comedy, Crime",1964,6.9,FALSE
Fantomas vs. Scotland Yard,movie,"Adventure, Comedy, Crime",1967,6.7,FALSE
Fear and Loathing in Las Vegas,movie,"Adventure, Comedy, Drama",1998,7.5,FALSE
The Karate Kid,movie,"Action, Drama, Family",1984,7.3,FALSE
Marie Antoinette,movie,"Biography, Drama, History",2006,6.5,FALSE
Traffic,movie,"Crime, Drama, Thriller",2000,7.6,FALSE
In Good Company,movie,"Comedy, Drama, Romance",2004,6.5,FALSE
Open Your Eyes,movie,"Drama, Mystery, Sci-Fi",1997,7.7,FALSE
Memoirs of a Geisha,movie,"Drama, Romance",2005,7.3,FALSE
The Sea Inside,movie,"Biography, Drama",2004,8,FALSE
"Manta, Manta",movie,Comedy,1991,5.7,FALSE
Away from Her,movie,Drama,2006,7.5,FALSE
Sweet November,movie,"Drama, Romance",2001,6.7,FALSE
September 11,movie,Drama,2002,6.8,FALSE
Hulk,movie,"Action, Sci-Fi",2003,5.6,FALSE
The Amazing Spider-Man,movie,"Action, Adventure, Sci-Fi",2012,6.9,FALSE
Stomp the Yard,movie,"Drama, Music, Romance",2007,5.4,FALSE
The Others,movie,"Horror, Mystery, Thriller",2001,7.6,FALSE
Me and My Sister,movie,"Comedy, Drama",2004,6.4,FALSE
An Unfinished Life,movie,"Drama, Family, Romance",2005,7,FALSE
Crank,movie,"Action, Crime, Thriller",2006,6.9,FALSE
Zodiac,movie,"Crime, Drama, Mystery",2007,7.7,FALSE
The Butterfly Effect,movie,"Drama, Sci-Fi, Thriller",2004,7.6,FALSE
Enough,movie,"Crime, Drama, Thriller",2002,5.8,FALSE
A Perfect Murder,movie,"Crime, Drama, Thriller",1998,6.6,FALSE
Alexander,movie,"Action, Biography, Drama",2004,5.6,FALSE
Bra Boys,movie,"Documentary, Sport",2007,6.1,FALSE
The Constant Gardener,movie,"Drama, Mystery, Romance",2005,7.3,FALSE
Paranoid Park,movie,"Crime, Drama, Mystery",2007,6.6,FALSE
Death Proof,movie,"Drama, Thriller",2007,7,FALSE
Lara Croft: Tomb Raider,movie,"Action, Adventure, Fantasy",2001,5.8,FALSE
Lara Croft: Tomb Raider - The Cradle of Life,movie,"Action, Adventure, Fantasy",2003,5.5,FALSE
"4 Months, 3 Weeks and 2 Days",movie,Drama,2007,7.9,FALSE
Persepolis,movie,"Animation, Biography, Drama",2007,8,FALSE
Secret Sunshine,movie,Drama,2007,7.5,FALSE
The Wedding Planner,movie,"Comedy, Romance",2001,5.3,FALSE
Hard Target,movie,"Action, Crime, Thriller",1993,6.2,FALSE
Mr. Deeds,movie,"Comedy, Romance",2002,5.8,FALSE
The Patriot,movie,"Action, Drama, History",2000,7.2,FALSE
A Few Days with Me,movie,"Comedy, Drama, Romance",1988,7,FALSE
Training Day,movie,"Crime, Drama, Thriller",2001,7.8,FALSE
The Lake House,movie,"Drama, Fantasy, Romance",2006,6.8,FALSE
The Whole Nine Yards,movie,"Comedy, Crime",2000,6.7,FALSE
Halloween,movie,Horror,2007,6,FALSE
Romeo Must Die,movie,"Action, Crime, Thriller",2000,6.1,FALSE
Requiem,movie,"Action, Crime, Horror",2001,5,FALSE
Rush Hour,movie,"Action, Comedy, Crime",1998,7,FALSE
Sophie Scholl: The Final Days,movie,"Biography, Crime, Drama",2005,7.6,FALSE
The Perfect Storm,movie,"Action, Adventure, Drama",2000,6.5,FALSE
The Storm Riders,movie,"Action, Adventure, Fantasy",1998,6.3,FALSE
Kiss of the Dragon,movie,"Action, Crime, Thriller",2001,6.6,FALSE
The Glass House,movie,"Crime, Drama, Mystery",2001,5.8,FALSE
Heartbreak Hotel,movie,"Comedy, Drama, Music",2006,5.4,FALSE
Unfaithful,movie,"Drama, Romance, Thriller",2002,6.7,FALSE
Eastern Promises,movie,"Crime, Drama, Thriller",2007,7.6,FALSE
Lola,movie,"Drama, Romance",1981,7.4,FALSE
The Golden Compass,movie,"Adventure, Family, Fantasy",2007,6.1,FALSE
The General's Daughter,movie,"Crime, Drama, Mystery",1999,6.4,FALSE
Mr. Magorium's Wonder Emporium,movie,"Comedy, Family, Fantasy",2007,6.2,FALSE
Closer,movie,"Drama, Romance",2004,7.2,FALSE
Cold Mountain,movie,"Adventure, Drama, Romance",2003,7.2,FALSE
Clerks,movie,Comedy,1994,7.7,FALSE
Space Jam,movie,"Adventure, Animation, Comedy",1996,6.5,FALSE
The Wounded Man,movie,"Crime, Drama, Romance",1983,6.6,FALSE
Beowulf,movie,"Action, Adventure, Animation",2007,6.3,FALSE
In the Name of the King: A Dungeon Siege Tale,movie,"Action, Adventure, Fantasy",2007,3.8,FALSE
